श्रीमद्भगवद्गीता,श्रीमत+भगवत+गीता
पाण्डवाश्चैव,पाण्डवा+च+एव
उत्तमौजाश्च,उत्तम+ओजा+च
भवान्भीष्मश्च,भवान+भीष्म+च
सौमदत्तिस्तथैव,सौम+दत्ति+तथा+एव
भीष्ममेवाभिरक्षन्तु,भीष्मम+एव+अभिरक्षन्तु
सहसैवाभ्यहन्यन्त,सहसा+एव+अभ्यहन्यन्त
श्वेतैर्हयैर्युक्ते,श्वेतै+हयै+युक्ते
पाण्डवश्चैव,पाण्डव+च+एव
सात्यकिश्चापराजित,सात्यकि+च+अपराजित
वाक्यमिदमाह,वाक्यम+इदम+आह
सेनयोरुभयोर्मध्ये,सेनयो+उभयो+मध्ये
योद्धव्यमस्मिन्रणसमुद्यमे,योद्धव्यम+अस्मिन+रणसमुद्यमे
पश्यैतान्समवेतान्कुरूनिति,पश्य+एतान+समवेतान+कुरून+इति
तत्रापश्यत्स्थितान्पार्थ,तत्र+अपश्यत+स्थितान+पार्थ
आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा,आचार्यान+मातुलान+भ्रातॄन+पुत्रान+पौत्रान+सखीन+तथा
श्वशुरान्सुहृदश्चैव,श्वशुरान+सुहृद+च+एव
सेनयोरुभयोरपि,सेनयो+उभयो+अपि
सर्वान्बन्धूनवस्थितान,सर्वान+बन्धून+अवस्थितान
हस्तात्त्वक्चैव,हस्तात+त्वक+च+एव
स्वजनमाहवे,स्व+जनम+आहवे
पुत्रास्तथैव,पुत्रा+तथा+एव
स्याज्जनार्दन,स्यात+जन+अर्दन
पापमेवाश्रयेदस्मान्हत्वैतानाततायिन,पापम+एव+आश्रयेत+अस्मान+हत्वा+एतान+आततायिन
यद्यप्येते,यदि+अपि+एते
लोभोपहतचेतस,लोभ+उपहत+चेतस
पापादस्मान्निवर्तितुम,पापात+अस्मान+निवर्तितुम
अधर्माभिभवात्कृष्ण,अधर्म+अभिभवात+कृष्ण
हन्युस्तन्मे,हन्यु+तत+मे
एवमुक्त्वार्जुन,एवम+उक्त्वा+अर्जुन
श्रीमद्भगवद्गीतासु,श्रीमत+भगवत+गीतासु 
श्रीकृष्णार्जुनसंवादे,श्रीकृष्ण+अर्जुन+संवादे
कृपयाविष्टमश्रुपूर्णाकुलेक्षणम,कृपया+आविष्टम+अश्रुपूर्ण+आकुल+ईक्षणम
अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन,अनार्यजुष्टम+अस्वर्ग्यम+अकीर्तिकरम+अर्जुन
नैतत्त्वय्युपपद्यते,न+एतत+त्वयि+उपपद्यते
पूजार्हावरिसूदन,पूजा+अर्हौ+अरिसूदन
हत्वार्थकामांस्तु,हत्वा+अर्थकामान+तु
गुरूनिहैएव,गुरून+इह+एव
चैतद्विद्म,च+एतत+विद्म
स्यान्निश्चितम्ब्रूहि,स्यात+निश्चितम+ब्रूहि
मान्त्वाम्प्रपन्नम,माम+त्वाम+प्रपन्नम
यच्छोकमुच्छोषणमिन्द्रियाणाम,यत+शोकम+उत+शोषणम+इन्द्रियाणाम
भूमावसपत्नमृद्धम,भूमौ+असपत्नम+ऋद्धम
गतासूनगतासूंश्च,गत+आसून+अगत+आसून+च
देहिनोऽस्मिन्यथा,देहिन+अस्मिन+यथा
देहान्तरप्राप्ति,देह+अन्तर+प्राप्ति
आगमापायिनोऽनित्यास्तांस्तितिक्षस्व,आगम+आपायिन+अनित्या+तान+तितिक्षस्व
पुरुषम्पुरुषर्षभ,पुरुषम+पुरुष+ऋषभ
दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभि,दृष्ट+अन्त+तु+अनयो+तत्त्वदर्शिभि
सर्वमिदन्ततम,सर्वम+इदम+ततम
कश्चित्कर्तुमर्हति,क+चित+कर्तुम+अर्हति
अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते,अव्यक्त+अयम+अचिन्त्य+अयम+अविकार्य+अयम+उच्यते
तस्मादपरिहार्येऽर्थे,तस्मात+अपरिहार्ये+अर्थे
आश्चर्यवच्चैनमन्य,आश्चर्यवत+च+एनम+अन्य
नित्यमवध्योऽयन्देहे,नित्यम+अवध्य+अयम+देहे
युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य,युद्धात+श्रेय+अन्यत+क्षत्रियस्य
स्वधर्मङ्कीर्तिञ्च,स्वधर्मम+कीर्तिम+च
अकीर्तिञ्चापि,अकीर्तिम+च+अपि
चाकीर्तिर्मरणादतिरिच्यते,च+अकीर्ति+मरणात+अतिरिच्यते
भयाद्रणादुपरतम्मंस्यन्ते,भयात+रणात+उपरतम+मंस्यन्ते
नेहाभिक्रमनाशोऽस्ति,न+इह+अभिक्रमनाश+अस्ति
स्वल्पमप्यस्य,स्वल्पम+अपि+अस्य
बुद्धिरेकेह,बुद्धि+एक+इह
ह्यनन्ताश्च,हि+अनन्ता+च
नान्यदस्तीति,न+अन्यत+अस्ति+इति
क्रियाविशेषबहुलाम्भोगैश्वर्यगतिम्प्रति,क्रियाविशेषबहुलाम+भोगै+ऐश्वर्यगतिम+प्रति
भोगैश्वर्यप्रसक्तानान्तयापहृतचेतसाम,भोगै+ऐश्वर्यप्रसक्तानाम+तया+अपहृतचेतसाम
सम्प्लुतोदके,सम+प्लुत+उदके
कर्मण्येवाधिकारस्ते,कर्मणि+एव+अधिकार+ते
कर्मफलहेतुर्भूर्मा,कर्मफलहेतु+भू+मा
सङ्गोऽस्त्वकर्मणि,सङ्ग+अस्तु+अकर्मणि
बुद्धियोगाद्धनञ्जय,बुद्धियोगात+धनम+जय
शरणमन्विच्छ,शरणम+अनु+इच्छ
पदङ्गच्छन्त्यनामयम,पदम+गच्छन्ति+अन+आमयम
कामान्सर्वान्पार्थ,कामान+सर्वान+पार्थ
आत्मन्येवात्मना,आत्मनि+एव+आत्मना
स्थितप्रज्ञस्तदोच्यते,स्थितप्रज्ञ+तदा+उच्यते
स्थितधीर्मुनिरुच्यते,स्थितधी+मुनि+उच्यते
सर्वत्रानभीस्नेहस्तत्तत्प्राप्य,सर्वत्र+अनभिस्नेह+तत+तत+प्राप्य
इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य,इन्द्रियाणि+इन्द्रिय+अर्थेभ्य+तस्य
रसोऽप्यस्य,रस+अपि+अस्य
सङ्गस्तेषूपजायते,सङ्ग+तेषु+उपजायते
कामात्क्रोधोऽभिजायते,कामात+क्रोध+अभिजायते
विषयानिन्द्रियैश्चरन,विषयानि+इन्द्रियै+चरन
आत्मवश्यैर्विधेयात्मा,आत्मवश्यै+विधेय+आत्मा
सर्वभूतानान्तस्याञ्जागर्ति,सर्वभूतानाम+तस्याम+जागर्ति
तद्वत्कामा,तत+वत+कामा
स्थित्वास्यामन्तकालेऽपि,स्थित्वा+अस्याम+अन्तकाले+अपि
बुद्धिर्जनार्दन,बुद्धि+जन+अर्दन
बुद्धिम्मोहयसीव,बुद्धिम+मोहयसि+इव
श्रेयोऽहमाप्नुयाम,श्रेय+अहम+आप्नुयाम
कर्मणामनारम्भान्नैष्कम्र्यम्पुरुषोऽश्नुते,कर्मणाम+अनारम्भान+नैष्कम्र्यम+पुरुष+अश्नुते
कश्चित्क्षणमपि,क+चित+क्षणम+अपि
यस्त्विन्द्रियाणि,य+तु+इन्द्रियाणि
नियम्यारभतेर्जुन,नियम्य+आरभते+अर्जुन
यज्ञार्थात्कर्मणोऽन्यत्र,यज्ञ+अर्थात+कर्मण+अन्यत्र
तदर्थङ्कर्म,तत+अर्थम+कर्म
वोऽस्त्विष्टकामधुक,व+अस्तु+इष्टकामधुक
देवान्भावयतानेन,देवान+भावयत+अनेन
परस्परम्भावयन्त,पर+परम+भावयन्त
परमवाप्स्यथ,परम+अव+आप्स्यथ
इष्टान्भोगान्हि,इष्टान+भोगान+हि
ब्रह्माक्षरसमुद्भवम,ब्रह्म+अक्षर+सम+उद्भवम
तस्मात्सर्वगतम्ब्रह्म,तस्मात+सर्वगतम+ब्रह्म
यस्तात्मरतिरेव,य+तु+आत्मरति+एव
स्यादात्मतृप्तश्च,स्यात+आत्मतृप्त+च
कश्चिदर्थव्यपाश्रय,क+चित+अर्थव्यप+आश्रय
सततङ्कार्यङ्कर्म,सततम+कार्यम+कर्म
संसिद्धिमास्थिता,सम+सिद्धिम+आस्थिता
लोकसङ्ग्रहमेवापि,लोकसम+ग्रहम+एव+अपि
सम्पश्यन्कर्तुमर्हसि,सम्पश्यन+कर्तुम+अर्हसि
यद्यदाचरति,यत+यत+आचरति
लोकस्तदनुवर्तते,लोक+तत+अनुवर्तते
स्यामुपहन्यामिमा,स्याम+उपहन्याम+इमा
कुर्याद्विद्वांस्तथासक्तश्चिकीर्षुर्लोकसङ्ग्रहम,कुर्यात+विद्वान+तथा+असक्त+चिकीर्षु+लोकसङ्ग्रहम
बुद्धिभेदञ्जनयेदज्ञानाङ्कर्मसङ्गिनाम,बुद्धिभेदम+जनयेत+अज्ञानाम+कर्मसङ्गिनाम
कर्ताहमिति,कर्ता+अहम+इति
मतमिदन्नित्यमनुतिष्ठन्ति,मतम+इदम+नित्यम+अनुतिष्ठन्ति
सर्वज्ञानविमूढांश्तान,सर्वज्ञान+विमूढान+तान
प्रकृतेर्ज्ञानवानपि,प्रकृते+ज्ञानवान+अपि
इन्द्रियस्येन्द्रियस्यार्थे,इन्द्रियस्य+इन्द्रियस्य+अर्थे
वशमागच्छेत्तौ,वशम+आगच्छेत+तौ
परधर्मात्स्वनुष्ठितात,परधर्मात+स्व+अनुष्ठितात
अनिच्छन्नपि,अन+इच्छन+अपि
विद्ध्येनमिह,विद्धि+एनम+इह
तेनेदमावृतम,तेन+इदम+आवृतम
आवृतञ्ज्ञानमेतेन,आवृतम+ज्ञानम+एतेन
तस्मात्त्वमिन्द्रियाण्यादौ,तस्मात+त्वम+इन्द्रियाणि+आदौ
पराण्याहुरिन्द्रियेभ्य,पराणि+आहु+इन्द्रियेभ्य
संस्तभ्यात्मानमात्मना,संस्तभ्य+आत्मानम+आत्मना
योगम्प्रोक्तवानहमव्ययम,योगम+प्र+उक्तवान+अहम+अव्ययम+
मनुरिक्ष्वाकवेऽब्रवीत,मनु+इक्ष्वाकवे+अब्रवीत
कथमेतद्विजानीयान्त्वमादौ,कथम+एतत+विजानीयात+त्वम+आदौ
प्रोक्तवानिति,प्र+उक्तवान+इति
सन्नव्ययात्मा,सन+अव्यय+आत्मा
भूतानामीश्वरोऽपि,भूतानाम+ईश्वर+अपि
अभ्युत्थानमधर्मस्य,अभि+उत्थानम+अधर्मस्य
देहम्पुनर्जन्म,देहम+पुन+जन्म
किमकर्मेति,किम+अकर्म+इति
कवयोऽप्यत्र,कवय+अपि+अत्र
बोद्धव्यम्बोद्धव्यञ्च,बोद्धव्यम+बोद्धव्यम+च
ज्ञानाग्निदग्धकर्माणन्तमाहु,ज्ञान+अग्निदग्धकर्माणम+तम+आहु
कर्मण्यभिप्रवृत्तोऽपि,कर्मणि+अभिप्रवृत्त+अपि
किञ्चित्करोति,किम+चित+करोति
निराशीर्यतचित्तात्मा,निराशी+यतचित्त+आत्मा
शारीरङ्केवलङ्कर्म,शारीरम+केवलम+कर्म
ब्रह्मार्पणम्ब्रह्म,ब्रह्मा+अर्पणम+ब्रह्म
हविर्ब्रह्माग्नौ,हवि+ब्रह्मा+अग्नौ
दैवमेवापरे,दैवम+एव+अपरे
पर्युपासते,परि+उप+आसते
ब्रह्माग्नावपरे,ब्रह्मा+अग्नौ+अपरे
