प्रथमोऽध्याय,प्रथम+अध्याय
किमकुर्वत,किम+अकुर्वत
आचार्यमुपसङ्गम्य,आचार्यम+उपसङ्गम्य
द्रुपदश्च,द्रुपद+च
धृष्टकेतुश्चेकितान,धृष्टकेतु+चेकितान
काशिराजश्च,काशिराज+च
पुरुजित्कुन्तिभोजश्च,पुरुजित्कुन्तिभोज+च
शैब्यश्च,शैब्य+च
युधामन्युश्च,युधामन्यु+च
तान्निबोध,तान+निबोध
द्वीजोत्तम,द्विज+उत्तम
कर्णश्च,कर्ण+च
कृपश्च,कृप+च
समितिञ्जय,समितिम+जय
विकर्णश्च,विकर्ण+च
यथाभागमवस्थिता,यथाभागम+अवस्थिता
सञ्जनयन्हर्षम,सञ्जजनयत+हर्षम
शङ्खाश्च,शङ्खा+च
भेर्यश्च,भेर्य+च
वृकोदर,वृक+उदर
सहदेवश्च,सहदेव+च
काश्यश्च,काश्य+च
सौभद्रश्च,सौभद्र+च
शङ्खान्दध्मु,शङ्खान+दध्मु
व्यदारयत,वि+अदारयत
नभश्च,नभ+च
व्यवस्थितान्दृष्ट्वा,व्यवस्थितान+दृष्ट्वा
धार्तराष्ट्रान्कपिध्वज,धार्तराष्ट्रान+कपिध्वज
धनुरुद्यम्य,धनु+उद्यम्य
मेऽच्युत,मे+अच्युत
यावदेतान,यावत+एतान
कैर्मया,कै+मया
रथोत्तमम,रथ+उत्तमम
पितॄनथ,पितॄन+अथ
तान्समीक्ष्य,तान+समीक्ष्य
वेपथुश्च,वेपथु+च
रोमहर्षश्च,रोमहर्ष+च
श्रेयोऽनुपश्यामि,श्रेय+अनुपश्यामि
येषामर्थे,येषाम+अर्थे
प्राणांस्त्यक्त्वा,प्राणान+त्यक्त्वा
सम्बन्धिनस्तथा,सम्बन्धिन+तथा
एतान्न,एतान+न
हन्तुमिच्छामि,हन्तुम+इच्छामि
घ्नतोऽपि,घ्नत+अपि
धार्तराष्ट्रान्न,धार्तराष्ट्रान+न
ज्ञेयमस्माभि,ज्ञेयम+अस्माभि
दोषैरेतै,दोषै+एतै
कुलधर्माश्च,कुलधर्मा+च
यद्राज्यसुखलोभेन,यत+राज्यसुखलोभेन
अर्जुनविषादयोगोनाम,अर्जुनविषादयोग+नाम
द्वितीयोऽध्याय,द्वितीय+अध्याय
श्रीभगवानुवाच,श्रीभगवान+उवाच
कुतस्त्वा,कुत+त्वा
समुपस्थितम,सम+उपस्थितम
परन्तप,परम+तप
द्रोणञ्च,द्रोणम+च
गुरूनहत्वा,गुरून+हत्वा
महानुभावान,महा+अनुभावान
यत्वा,यत+वा
यानेव,यान+एव
तेऽवस्थिता,ते+अवस्थिता
कार्पण्यदोषोपहतस्वभाव,कार्पण्यदोष+उपहतस्वभाव
त्वान्धर्मसंमूढचेता,त्वाम+धर्मसंमूढचेता
यच्छ्रेय,यत+श्रेय
तन्मे,तत+मे
ममापनुद्यात,मम+अपनुद्यात
चाधिपत्यम,च+आधिपत्यम
एवमुक्त्वा,एवम+उक्त्वा
हृषीकेशङ्गुडाकेश,हृषीकेशम+गुडाकेश
गोविन्दमुक्त्वा,गोविन्दम+उक्त्वा
तूष्णीम्बभूवह,तूष्णीम+बभूवह
तमुवाच,तम+उवाच
प्रहसन्निव,प्रहसन+इव
नानुशोचन्ति,न+अनुशोचन्ति
जनाधिपा,जन+अधिपा
चैव,च+एव
वयमत,वयम+अत
धीरस्तत्र,धीर+तत्र
मात्रास्पर्शास्तु,मात्रास्पर्शा+तु
शीतोष्णसुखुदुःखदा,शीत+उष्णसुखुदुःखदा
